indicator_id,project_name,task_name,indicator_name,year,target_value,source_sheet,source_excel_row
ind_a9e26120c0,1. 인력양성,1-1. 공유대학,02. 지역 내 취업자 수,2025,6,2026,6
ind_a9e26120c0,1. 인력양성,1-1. 공유대학,02. 지역 내 취업자 수,2026,7,2026,6
ind_a9e26120c0,1. 인력양성,1-1. 공유대학,02. 지역 내 취업자 수,2027,8,2026,6
ind_a9e26120c0,1. 인력양성,1-1. 공유대학,02. 지역 내 취업자 수,2028,9,2026,6
ind_a9e26120c0,1. 인력양성,1-1. 공유대학,02. 지역 내 취업자 수,2029,10,2026,6
ind_0c96c8e43a,1. 인력양성,1-1. 공유대학,03. 지역 외(수도권 제외) 취업자 수,2025,14,2026,7
ind_0c96c8e43a,1. 인력양성,1-1. 공유대학,03. 지역 외(수도권 제외) 취업자 수,2026,15,2026,7
ind_0c96c8e43a,1. 인력양성,1-1. 공유대학,03. 지역 외(수도권 제외) 취업자 수,2027,16,2026,7
ind_0c96c8e43a,1. 인력양성,1-1. 공유대학,03. 지역 외(수도권 제외) 취업자 수,2028,17,2026,7
ind_0c96c8e43a,1. 인력양성,1-1. 공유대학,03. 지역 외(수도권 제외) 취업자 수,2029,18,2026,7
ind_55d02fa5bf,1. 인력양성,1-1. 공유대학,(신규) 대학 전체 졸업자 수,2025,2162,2026,8
ind_55d02fa5bf,1. 인력양성,1-1. 공유대학,(신규) 대학 전체 졸업자 수,2026,2162,2026,8
ind_55d02fa5bf,1. 인력양성,1-1. 공유대학,(신규) 대학 전체 졸업자 수,2027,2187,2026,8
ind_55d02fa5bf,1. 인력양성,1-1. 공유대학,(신규) 대학 전체 졸업자 수,2028,2212,2026,8
ind_55d02fa5bf,1. 인력양성,1-1. 공유대학,(신규) 대학 전체 졸업자 수,2029,2237,2026,8
ind_4bd51efe1a,1. 인력양성,1-1. 공유대학,05. 공동교육과정 이수자 수,2025,300,2026,10
ind_4bd51efe1a,1. 인력양성,1-1. 공유대학,05. 공동교육과정 이수자 수,2026,345,2026,10
ind_4bd51efe1a,1. 인력양성,1-1. 공유대학,05. 공동교육과정 이수자 수,2027,378,2026,10
ind_4bd51efe1a,1. 인력양성,1-1. 공유대학,05. 공동교육과정 이수자 수,2028,431,2026,10
ind_4bd51efe1a,1. 인력양성,1-1. 공유대학,05. 공동교육과정 이수자 수,2029,478,2026,10
ind_a8e27580f6,1. 인력양성,1-1. 공유대학,06. 산학실무교과목 수,2025,2,2026,11
ind_a8e27580f6,1. 인력양성,1-1. 공유대학,06. 산학실무교과목 수,2026,2,2026,11
ind_a8e27580f6,1. 인력양성,1-1. 공유대학,06. 산학실무교과목 수,2027,3,2026,11
ind_a8e27580f6,1. 인력양성,1-1. 공유대학,06. 산학실무교과목 수,2028,3,2026,11
ind_a8e27580f6,1. 인력양성,1-1. 공유대학,06. 산학실무교과목 수,2029,3,2026,11
ind_c2a722f087,1. 인력양성,1-1. 공유대학,07. 표준현장실습 참여자 수,2025,5,2026,12
ind_c2a722f087,1. 인력양성,1-1. 공유대학,07. 표준현장실습 참여자 수,2026,7,2026,12
ind_c2a722f087,1. 인력양성,1-1. 공유대학,07. 표준현장실습 참여자 수,2027,7,2026,12
ind_c2a722f087,1. 인력양성,1-1. 공유대학,07. 표준현장실습 참여자 수,2028,8,2026,12
ind_c2a722f087,1. 인력양성,1-1. 공유대학,07. 표준현장실습 참여자 수,2029,8,2026,12
ind_10009f96c7,1. 인력양성,1-1. 공유대학,(신규) 공유대학 참여자 수,2025,114,2026,13
ind_10009f96c7,1. 인력양성,1-1. 공유대학,(신규) 공유대학 참여자 수,2026,124,2026,13
ind_10009f96c7,1. 인력양성,1-1. 공유대학,(신규) 공유대학 참여자 수,2027,133,2026,13
ind_10009f96c7,1. 인력양성,1-1. 공유대학,(신규) 공유대학 참여자 수,2028,143,2026,13
ind_10009f96c7,1. 인력양성,1-1. 공유대학,(신규) 공유대학 참여자 수,2029,152,2026,13
ind_c6a15c44b1,1. 인력양성,1-1. 공유대학,(신규) 공유대학 교과목 수,2025,100,2026,14
ind_c6a15c44b1,1. 인력양성,1-1. 공유대학,(신규) 공유대학 교과목 수,2026,110,2026,14
ind_c6a15c44b1,1. 인력양성,1-1. 공유대학,(신규) 공유대학 교과목 수,2027,120,2026,14
ind_c6a15c44b1,1. 인력양성,1-1. 공유대학,(신규) 공유대학 교과목 수,2028,130,2026,14
ind_c6a15c44b1,1. 인력양성,1-1. 공유대학,(신규) 공유대학 교과목 수,2029,140,2026,14
ind_dfd083c0ae,1. 인력양성,1-1. 공유대학,01. 타 대학 학점교류 수강 건수,2025,202,2026,15
ind_dfd083c0ae,1. 인력양성,1-1. 공유대학,01. 타 대학 학점교류 수강 건수,2026,203,2026,15
ind_dfd083c0ae,1. 인력양성,1-1. 공유대학,01. 타 대학 학점교류 수강 건수,2027,215,2026,15
ind_dfd083c0ae,1. 인력양성,1-1. 공유대학,01. 타 대학 학점교류 수강 건수,2028,223,2026,15
ind_dfd083c0ae,1. 인력양성,1-1. 공유대학,01. 타 대학 학점교류 수강 건수,2029,233,2026,15
ind_6ced62e054,1. 인력양성,1-1. 공유대학,02. 실무교과목 이수 학생 수,2025,43,2026,16
ind_6ced62e054,1. 인력양성,1-1. 공유대학,02. 실무교과목 이수 학생 수,2026,46,2026,16
ind_6ced62e054,1. 인력양성,1-1. 공유대학,02. 실무교과목 이수 학생 수,2027,49,2026,16
ind_6ced62e054,1. 인력양성,1-1. 공유대학,02. 실무교과목 이수 학생 수,2028,49,2026,16
ind_6ced62e054,1. 인력양성,1-1. 공유대학,02. 실무교과목 이수 학생 수,2029,53,2026,16
ind_bcb77dd788,1. 인력양성,1-1. 공유대학,03. 산업체 인력참여자 수,2025,6,2026,17
ind_bcb77dd788,1. 인력양성,1-1. 공유대학,03. 산업체 인력참여자 수,2026,9,2026,17
ind_bcb77dd788,1. 인력양성,1-1. 공유대학,03. 산업체 인력참여자 수,2027,10,2026,17
ind_bcb77dd788,1. 인력양성,1-1. 공유대학,03. 산업체 인력참여자 수,2028,11,2026,17
ind_bcb77dd788,1. 인력양성,1-1. 공유대학,03. 산업체 인력참여자 수,2029,12,2026,17
ind_ecda8a8df5,1. 인력양성,1-2. 이차전지 단독형,02. 지역 내 취업자 수,2025,10,2026,19
ind_ecda8a8df5,1. 인력양성,1-2. 이차전지 단독형,02. 지역 내 취업자 수,2026,11,2026,19
ind_ecda8a8df5,1. 인력양성,1-2. 이차전지 단독형,02. 지역 내 취업자 수,2027,12,2026,19
ind_ecda8a8df5,1. 인력양성,1-2. 이차전지 단독형,02. 지역 내 취업자 수,2028,13,2026,19
ind_ecda8a8df5,1. 인력양성,1-2. 이차전지 단독형,02. 지역 내 취업자 수,2029,14,2026,19
ind_e87bd551d4,1. 인력양성,1-2. 이차전지 단독형,03. 지역 외(수도권 제외) 취업자 수,2025,24,2026,20
ind_e87bd551d4,1. 인력양성,1-2. 이차전지 단독형,03. 지역 외(수도권 제외) 취업자 수,2026,25,2026,20
ind_e87bd551d4,1. 인력양성,1-2. 이차전지 단독형,03. 지역 외(수도권 제외) 취업자 수,2027,26,2026,20
ind_e87bd551d4,1. 인력양성,1-2. 이차전지 단독형,03. 지역 외(수도권 제외) 취업자 수,2028,27,2026,20
ind_e87bd551d4,1. 인력양성,1-2. 이차전지 단독형,03. 지역 외(수도권 제외) 취업자 수,2029,28,2026,20
ind_929050356f,1. 인력양성,1-2. 이차전지 단독형,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,2025,1,2026,23
ind_929050356f,1. 인력양성,1-2. 이차전지 단독형,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,2026,1,2026,23
ind_929050356f,1. 인력양성,1-2. 이차전지 단독형,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,2027,1,2026,23
ind_929050356f,1. 인력양성,1-2. 이차전지 단독형,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,2028,1,2026,23
ind_929050356f,1. 인력양성,1-2. 이차전지 단독형,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,2029,1,2026,23
ind_40ece2c055,1. 인력양성,1-2. 이차전지 단독형,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,2025,1,2026,24
ind_40ece2c055,1. 인력양성,1-2. 이차전지 단독형,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,2026,2,2026,24
ind_40ece2c055,1. 인력양성,1-2. 이차전지 단독형,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,2027,3,2026,24
ind_40ece2c055,1. 인력양성,1-2. 이차전지 단독형,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,2028,4,2026,24
ind_40ece2c055,1. 인력양성,1-2. 이차전지 단독형,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,2029,5,2026,24
ind_ee7ab0d187,1. 인력양성,1-2. 이차전지 단독형,06. 지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,2025,6,2026,25
ind_ee7ab0d187,1. 인력양성,1-2. 이차전지 단독형,06. 지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,2026,6,2026,25
ind_ee7ab0d187,1. 인력양성,1-2. 이차전지 단독형,06. 지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,2027,6,2026,25
ind_ee7ab0d187,1. 인력양성,1-2. 이차전지 단독형,06. 지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,2028,6,2026,25
ind_ee7ab0d187,1. 인력양성,1-2. 이차전지 단독형,06. 지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,2029,6,2026,25
ind_fe5511690a,1. 인력양성,1-2. 이차전지 단독형,06. 지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,2025,2,2026,26
ind_fe5511690a,1. 인력양성,1-2. 이차전지 단독형,06. 지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,2026,3,2026,26
ind_fe5511690a,1. 인력양성,1-2. 이차전지 단독형,06. 지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,2027,4,2026,26
ind_fe5511690a,1. 인력양성,1-2. 이차전지 단독형,06. 지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,2028,5,2026,26
ind_fe5511690a,1. 인력양성,1-2. 이차전지 단독형,06. 지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,2029,6,2026,26
ind_d6609f5535,1. 인력양성,1-2. 이차전지 단독형,07. 지역 외 12주 이상 표준현장실습 참여 학생 수,2025,5,2026,27
ind_d6609f5535,1. 인력양성,1-2. 이차전지 단독형,07. 지역 외 12주 이상 표준현장실습 참여 학생 수,2026,5,2026,27
ind_d6609f5535,1. 인력양성,1-2. 이차전지 단독형,07. 지역 외 12주 이상 표준현장실습 참여 학생 수,2027,5,2026,27
ind_d6609f5535,1. 인력양성,1-2. 이차전지 단독형,07. 지역 외 12주 이상 표준현장실습 참여 학생 수,2028,5,2026,27
ind_d6609f5535,1. 인력양성,1-2. 이차전지 단독형,07. 지역 외 12주 이상 표준현장실습 참여 학생 수,2029,5,2026,27
ind_28d77a3833,1. 인력양성,1-2. 이차전지 단독형,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,2025,2,2026,28
ind_28d77a3833,1. 인력양성,1-2. 이차전지 단독형,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,2026,3,2026,28
ind_28d77a3833,1. 인력양성,1-2. 이차전지 단독형,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,2027,4,2026,28
ind_28d77a3833,1. 인력양성,1-2. 이차전지 단독형,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,2028,5,2026,28
ind_28d77a3833,1. 인력양성,1-2. 이차전지 단독형,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,2029,6,2026,28
ind_eb1981ebf8,1. 인력양성,1-2. 이차전지 단독형,08. 표준현장실습 참여자 중 실습기업 취업자 수,2025,10,2026,29
