indicator_id,project_name,task_name,indicator_name,year,actual_value,target_value,achievement_rate,value_source,source_sheet,source_excel_row
ind_a9e26120c0,1. 인력양성,1-1. 공유대학,02. 지역 내 취업자 수,2025,6,6,,EXCEL_2026_AH_COLUMN,2026,6
ind_0c96c8e43a,1. 인력양성,1-1. 공유대학,03. 지역 외(수도권 제외) 취업자 수,2025,14,14,,EXCEL_2026_AH_COLUMN,2026,7
ind_55d02fa5bf,1. 인력양성,1-1. 공유대학,(신규) 대학 전체 졸업자 수,2025,2162,-,,EXCEL_2026_AH_COLUMN,2026,8
ind_4bd51efe1a,1. 인력양성,1-1. 공유대학,05. 공동교육과정 이수자 수,2025,368,300,,EXCEL_2026_AH_COLUMN,2026,10
ind_a8e27580f6,1. 인력양성,1-1. 공유대학,06. 산학실무교과목 수,2025,2,1,,EXCEL_2026_AH_COLUMN,2026,11
ind_c2a722f087,1. 인력양성,1-1. 공유대학,07. 표준현장실습 참여자 수,2025,4,5,,EXCEL_2026_AH_COLUMN,2026,12
ind_10009f96c7,1. 인력양성,1-1. 공유대학,(신규) 공유대학 참여자 수,2025,142,-,,EXCEL_2026_AH_COLUMN,2026,13
ind_c6a15c44b1,1. 인력양성,1-1. 공유대학,(신규) 공유대학 교과목 수,2025,100,-,,EXCEL_2026_AH_COLUMN,2026,14
ind_dfd083c0ae,1. 인력양성,1-1. 공유대학,01. 타 대학 학점교류 수강 건수,2025,304,152.4,,EXCEL_2026_AH_COLUMN,2026,15
ind_6ced62e054,1. 인력양성,1-1. 공유대학,02. 실무교과목 이수 학생 수,2025,98,33,,EXCEL_2026_AH_COLUMN,2026,16
ind_bcb77dd788,1. 인력양성,1-1. 공유대학,03. 산업체 인력참여자 수,2025,7,6.2,,EXCEL_2026_AH_COLUMN,2026,17
ind_ecda8a8df5,1. 인력양성,1-2. 이차전지 단독형,02. 지역 내 취업자 수,2025,34,10,,EXCEL_2026_AH_COLUMN,2026,19
ind_e87bd551d4,1. 인력양성,1-2. 이차전지 단독형,03. 지역 외(수도권 제외) 취업자 수,2025,28,24,,EXCEL_2026_AH_COLUMN,2026,20
ind_929050356f,1. 인력양성,1-2. 이차전지 단독형,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,2025,1,1,,EXCEL_2026_AH_COLUMN,2026,23
ind_40ece2c055,1. 인력양성,1-2. 이차전지 단독형,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,2025,3,1,,EXCEL_2026_AH_COLUMN,2026,24
ind_ee7ab0d187,1. 인력양성,1-2. 이차전지 단독형,06. 지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,2025,8,6,,EXCEL_2026_AH_COLUMN,2026,25
ind_fe5511690a,1. 인력양성,1-2. 이차전지 단독형,06. 지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,2025,2,2,,EXCEL_2026_AH_COLUMN,2026,26
ind_d6609f5535,1. 인력양성,1-2. 이차전지 단독형,07. 지역 외 12주 이상 표준현장실습 참여 학생 수,2025,24,5,,EXCEL_2026_AH_COLUMN,2026,27
ind_28d77a3833,1. 인력양성,1-2. 이차전지 단독형,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,2025,2,2,,EXCEL_2026_AH_COLUMN,2026,28
ind_eb1981ebf8,1. 인력양성,1-2. 이차전지 단독형,08. 표준현장실습 참여자 중 실습기업 취업자 수,2025,0,1,,EXCEL_2026_AH_COLUMN,2026,29
ind_98ddfb266b,1. 인력양성,1-2. 이차전지 단독형,(신규) 대학 전체 재학생 수,2025,7950,0,,EXCEL_2026_AH_COLUMN,2026,30
ind_3b806a8833,1. 인력양성,1-2. 이차전지 단독형,10. 지역고교생 참여 프로그램 이수자 수,2025,211,40,,EXCEL_2026_AH_COLUMN,2026,32
ind_2f78ebd098,1. 인력양성,1-2. 이차전지 단독형,(신규) 대학 전체 입학자 수,2025,2117,0,,EXCEL_2026_AH_COLUMN,2026,34
ind_04ecf68b92,1. 인력양성,1-2. 이차전지 단독형,01. 지산학연 특화 교수법 운영 실적,2025,0,12.3,,EXCEL_2026_AH_COLUMN,2026,35
ind_324fb24034,1. 인력양성,1-2. 이차전지 단독형,특화 교수법 적용 교과 운영 건수,2025,3,3,,EXCEL_2026_AH_COLUMN,2026,36
ind_d49ed61de8,1. 인력양성,1-2. 이차전지 단독형,특화 교수법 적용 교과 이수 학생 수,2025,45,34,,EXCEL_2026_AH_COLUMN,2026,37
ind_25ac353144,1. 인력양성,1-2. 이차전지 단독형,02. 교육과정 개발 실적,2025,0,1,,EXCEL_2026_AH_COLUMN,2026,38
ind_51dde78272,1. 인력양성,1-2. 이차전지 단독형,교육과정 관련 산관학협의체 운영 건수,2025,4,1,,EXCEL_2026_AH_COLUMN,2026,39
ind_db945663a5,1. 인력양성,1-2. 이차전지 단독형,교과목 개편 및 개발 건수,2025,7,0,,EXCEL_2026_AH_COLUMN,2026,40
ind_50274365d6,1. 인력양성,1-2. 이차전지 단독형,03. 캡스톤디자인 이수학생 수,2025,0,70,,EXCEL_2026_AH_COLUMN,2026,41
ind_dab2dd6ac6,1. 인력양성,1-2. 이차전지 단독형,교수중심형 캡스톤디자인 이수학생 수,2025,87,55,,EXCEL_2026_AH_COLUMN,2026,42
ind_7117fe466b,1. 인력양성,1-2. 이차전지 단독형,기업연계 기반 캡스톤디자인 이수학생 수,2025,0,10,,EXCEL_2026_AH_COLUMN,2026,43
ind_76dfb70468,1. 인력양성,1-2. 이차전지 단독형,글로벌 기반 캡스톤디자인 이수학생 수,2025,0,0,,EXCEL_2026_AH_COLUMN,2026,44
ind_9f383b4889,1. 인력양성,1-3. 바이오 단독형,02. 지역 내 취업자 수,2025,30,6,,EXCEL_2026_AH_COLUMN,2026,46
ind_8526071799,1. 인력양성,1-3. 바이오 단독형,03. 지역 외(수도권 제외) 취업자 수,2025,32,14,,EXCEL_2026_AH_COLUMN,2026,47
ind_7f14e76c1b,1. 인력양성,1-3. 바이오 단독형,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,2025,0,1,,EXCEL_2026_AH_COLUMN,2026,50
ind_754c43db41,1. 인력양성,1-3. 바이오 단독형,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,2025,2,1,,EXCEL_2026_AH_COLUMN,2026,51
ind_427fa3beba,1. 인력양성,1-3. 바이오 단독형,06. 지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,2025,2,5,,EXCEL_2026_AH_COLUMN,2026,52
ind_33b5d0c032,1. 인력양성,1-3. 바이오 단독형,06. 지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,2025,4,2,,EXCEL_2026_AH_COLUMN,2026,53
ind_b41b07e837,1. 인력양성,1-3. 바이오 단독형,07. 지역 외 12주 이상 표준현장실습 참여 학생 수,2025,2,5,,EXCEL_2026_AH_COLUMN,2026,54
ind_fcf034942d,1. 인력양성,1-3. 바이오 단독형,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,2025,7,1,,EXCEL_2026_AH_COLUMN,2026,55
ind_e9745c19f0,1. 인력양성,1-3. 바이오 단독형,08. 표준현장실습 참여자 중 실습기업 취업자 수,2025,0,1,,EXCEL_2026_AH_COLUMN,2026,56
ind_31b6ee26d3,1. 인력양성,1-3. 바이오 단독형,(신규) 대학 전체 재학생 수,2025,7950,0,,EXCEL_2026_AH_COLUMN,2026,57
ind_af1b4af73f,1. 인력양성,1-3. 바이오 단독형,10. 지역고교생 참여 프로그램 이수자 수,2025,119,40,,EXCEL_2026_AH_COLUMN,2026,59
ind_7e134ac1f0,1. 인력양성,1-3. 바이오 단독형,01. 지산학연 특화 교수법 운영 실적,2025,0,46.1,,EXCEL_2026_AH_COLUMN,2026,61
ind_ab5a0c3bda,1. 인력양성,1-3. 바이오 단독형,특화 교수법 적용 교과 운영 건수,2025,8,5,,EXCEL_2026_AH_COLUMN,2026,62
ind_dcb9605937,1. 인력양성,1-3. 바이오 단독형,특화 교수법 적용 교과 이수 학생 수,2025,145,142,,EXCEL_2026_AH_COLUMN,2026,63
ind_30eb9ffdc8,1. 인력양성,1-3. 바이오 단독형,02. 교육과정 개발 실적,2025,0,1,,EXCEL_2026_AH_COLUMN,2026,64
ind_440941a5a0,1. 인력양성,1-3. 바이오 단독형,교육과정 관련 산관학협의체 운영 건수,2025,6,1,,EXCEL_2026_AH_COLUMN,2026,65
ind_800e68ac30,1. 인력양성,1-3. 바이오 단독형,교과목 개편 및 개발 건수,2025,18,0,,EXCEL_2026_AH_COLUMN,2026,66
ind_ef7ccee874,1. 인력양성,1-3. 바이오 단독형,03. 캡스톤디자인 이수학생 수,2025,0,707.5,,EXCEL_2026_AH_COLUMN,2026,67
ind_751ab6ef07,1. 인력양성,1-3. 바이오 단독형,교수중심형 캡스톤디자인 이수학생 수,2025,567,130,,EXCEL_2026_AH_COLUMN,2026,68
ind_adf951ec79,1. 인력양성,1-3. 바이오 단독형,기업연계 기반 캡스톤디자인 이수학생 수,2025,110,385,,EXCEL_2026_AH_COLUMN,2026,69
ind_c7f79a2da3,1. 인력양성,1-3. 바이오 단독형,글로벌 기반 캡스톤디자인 이수학생 수,2025,0,0,,EXCEL_2026_AH_COLUMN,2026,70
ind_907a8d56c5,1. 인력양성,1-4. 반도체 단독형,02. 지역 내 취업자 수,2025,33,6,,EXCEL_2026_AH_COLUMN,2026,72
ind_959cef5090,1. 인력양성,1-4. 반도체 단독형,03. 지역 외(수도권 제외) 취업자 수,2025,42,14,,EXCEL_2026_AH_COLUMN,2026,73
ind_68795755bd,1. 인력양성,1-4. 반도체 단독형,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,2025,0,1,,EXCEL_2026_AH_COLUMN,2026,76
ind_ea41ba272e,1. 인력양성,1-4. 반도체 단독형,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,2025,0,1,,EXCEL_2026_AH_COLUMN,2026,77
ind_253ac25950,1. 인력양성,1-4. 반도체 단독형,06. 지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,2025,2,5,,EXCEL_2026_AH_COLUMN,2026,78
ind_d0718304f0,1. 인력양성,1-4. 반도체 단독형,06. 지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,2025,2,2,,EXCEL_2026_AH_COLUMN,2026,79
ind_c002216173,1. 인력양성,1-4. 반도체 단독형,07. 지역 외 12주 이상 표준현장실습 참여 학생 수,2025,14,5,,EXCEL_2026_AH_COLUMN,2026,80
ind_ed38e2ce36,1. 인력양성,1-4. 반도체 단독형,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,2025,2,1,,EXCEL_2026_AH_COLUMN,2026,81
ind_b5b9c0a14b,1. 인력양성,1-4. 반도체 단독형,(신규) 대학 전체 재학생 수,2025,7950,0,,EXCEL_2026_AH_COLUMN,2026,83
ind_958245e113,1. 인력양성,1-4. 반도체 단독형,10. 지역고교생 참여 프로그램 이수자 수,2025,57,40,,EXCEL_2026_AH_COLUMN,2026,85
ind_795943b0e2,1. 인력양성,1-4. 반도체 단독형,01. 지산학연 특화 교수법 운영 실적,2025,0,4.4,,EXCEL_2026_AH_COLUMN,2026,87
ind_6faf9fa577,1. 인력양성,1-4. 반도체 단독형,특화 교수법 적용 교과 운영 건수,2025,4,2,,EXCEL_2026_AH_COLUMN,2026,88
ind_ecaae9eda5,1. 인력양성,1-4. 반도체 단독형,특화 교수법 적용 교과 이수 학생 수,2025,105,10,,EXCEL_2026_AH_COLUMN,2026,89
ind_de1888c79f,1. 인력양성,1-4. 반도체 단독형,02. 교육과정 개발 실적,2025,0,1,,EXCEL_2026_AH_COLUMN,2026,90
ind_80a1dc6bea,1. 인력양성,1-4. 반도체 단독형,교육과정 관련 산관학협의체 운영 건수,2025,3,1,,EXCEL_2026_AH_COLUMN,2026,91
ind_de814d7305,1. 인력양성,1-4. 반도체 단독형,교과목 개편 및 개발 건수,2025,11,0,,EXCEL_2026_AH_COLUMN,2026,92
ind_4a61b68079,1. 인력양성,1-4. 반도체 단독형,03. 캡스톤디자인 이수학생 수,2025,0,421,,EXCEL_2026_AH_COLUMN,2026,93
ind_71b3b9bb6f,1. 인력양성,1-4. 반도체 단독형,교수중심형 캡스톤디자인 이수학생 수,2025,413,340,,EXCEL_2026_AH_COLUMN,2026,94
ind_7a2d97d005,1. 인력양성,1-4. 반도체 단독형,기업연계 기반 캡스톤디자인 이수학생 수,2025,22,54,,EXCEL_2026_AH_COLUMN,2026,95
ind_5f5f789df6,1. 인력양성,1-4. 반도체 단독형,글로벌 기반 캡스톤디자인 이수학생 수,2025,0,0,,EXCEL_2026_AH_COLUMN,2026,96
ind_d959a7a011,1. 인력양성,2-3. 오송철도 클러스터,02. 지역 내 취업자 수,2025,52,5,,EXCEL_2026_AH_COLUMN,2026,150
ind_bef4add149,1. 인력양성,2-3. 오송철도 클러스터,03. 지역 외(수도권 제외) 취업자 수,2025,63,12,,EXCEL_2026_AH_COLUMN,2026,151
ind_be546d77d8,1. 인력양성,2-3. 오송철도 클러스터,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,2025,1,9,,EXCEL_2026_AH_COLUMN,2026,154
ind_b22c0d6d7b,1. 인력양성,2-3. 오송철도 클러스터,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,2025,0,3,,EXCEL_2026_AH_COLUMN,2026,155
