source_sheet,source_excel_row,input_complete_flag,evidence_complete_flag,project_name,task_name,source_scope_name,source_level_name,indicator_name,unit,owner,target_2026,actual_2026,achievement_2026,note,source_weight,baseline_value,target_2025,target_2026_changed,target_2027,target_2028,target_2029,old_baseline,old_target_2025,old_target_2026,old_target_2027,old_target_2028,old_target_2029,prev_2025_target_check,actual_2025,target_match_check,actual_match_check,normalized_indicator_name,has_number_prefix,indicator_scope,is_regional_aggregate,source_level_confidence,indicator_id,indicator_level,parent_indicator_id,children_count,calculation_mode,formula_type
2026,5,O,X,1. 인력양성,1-1. 공유대학,지역 전체,상위지표,01. 지역 정주 취업률,%,취업성공지원과,,,,,,,,,,,,,,,,,,,,True,True,지역 정주 취업률,True,PROJECT,False,EXPLICIT,ind_cf44c0cc5a,PARENT,,2,AUTO_FROM_CHILDREN,RATIO
2026,6,O,X,1. 인력양성,1-1. 공유대학,지역 전체,하위지표,02. 지역 내 취업자 수,명,취업성공지원과,7,,0,,,6,6,7,8,9,10,-,6,7,8,9,10,6,6,False,False,지역 내 취업자 수,True,PROJECT,False,EXPLICIT,ind_a9e26120c0,CHILD,ind_cf44c0cc5a,0,,DIRECT
2026,7,O,X,1. 인력양성,1-1. 공유대학,지역 전체,하위지표,03. 지역 외(수도권 제외) 취업자 수,명,취업성공지원과,15,,0,,,14,14,15,16,17,18,-,14,15,16,17,18,14,14,False,False,지역 외(수도권 제외) 취업자 수,True,PROJECT,False,EXPLICIT,ind_0c96c8e43a,CHILD,ind_cf44c0cc5a,0,,DIRECT
2026,8,O,X,1. 인력양성,1-1. 공유대학,지역 전체,상위지표,(신규) 대학 전체 졸업자 수,명,대학본부,2162,,,신규,,2162,2162,2162,2187,2212,2237,,,,,,,-,2162,False,False,대학 전체 졸업자 수,False,PROJECT,False,EXPLICIT,ind_55d02fa5bf,PARENT,,0,DIRECT_INPUT,DIRECT
2026,9,O,X,1. 인력양성,1-1. 공유대학,단위과제 자율,상위지표,04. 공유대학 참여 증가율,%,허소영,0,,,,,,,,,,,,,,,,,,,False,True,공유대학 참여 증가율,True,CHUNGBUK,False,EXPLICIT,ind_889fa0188a,PARENT,,8,AUTO_FROM_CHILDREN,GROWTH_RATE
2026,10,O,X,1. 인력양성,1-1. 공유대학,단위과제 자율,하위지표,05. 공동교육과정 이수자 수,명,허소영,345,,0,,,295,300,345,378,431,478,-,300,345,378,431,478,300,368,False,False,공동교육과정 이수자 수,True,CHUNGBUK,False,EXPLICIT,ind_4bd51efe1a,CHILD,ind_889fa0188a,0,,DIRECT
2026,11,O,X,1. 인력양성,1-1. 공유대학,단위과제 자율,하위지표,06. 산학실무교과목 수,수,허소영,2,,0,,,1,2,2,3,3,3,-,1,1.3,1.4,1.5,1.6,1,2,False,False,산학실무교과목 수,True,CHUNGBUK,False,EXPLICIT,ind_a8e27580f6,CHILD,ind_889fa0188a,0,,DIRECT
2026,12,O,X,1. 인력양성,1-1. 공유대학,단위과제 자율,하위지표,07. 표준현장실습 참여자 수,명,허소영,7,,0,,,5,5,7,7,8,8,-,5,6.5,7,7.3,7.7,5,4,False,False,표준현장실습 참여자 수,True,CHUNGBUK,False,EXPLICIT,ind_c2a722f087,CHILD,ind_889fa0188a,0,,DIRECT
2026,13,O,X,1. 인력양성,1-1. 공유대학,단위과제 자율,하위지표,(신규) 공유대학 참여자 수,명,허소영,124,,,신규,,114,114,124,133,143,152,0,0,0,0,0,0,-,142,False,False,공유대학 참여자 수,False,CHUNGBUK,False,EXPLICIT,ind_10009f96c7,CHILD,ind_889fa0188a,0,,DIRECT
2026,14,O,X,1. 인력양성,1-1. 공유대학,단위과제 자율,하위지표,(신규) 공유대학 교과목 수,명,허소영,110,,,신규,,100,100,110,120,130,140,0,0,0,0,0,0,-,100,False,False,공유대학 교과목 수,False,CHUNGBUK,False,EXPLICIT,ind_c6a15c44b1,CHILD,ind_889fa0188a,0,,DIRECT
2026,15,O,X,1. 인력양성,1-1. 공유대학,대학 자율,하위지표,01. 타 대학 학점교류 수강 건수,건,허소영,203,,0,,1,195,202,203,215,223,233,148,152.4,155.4,162.2,170.6,178.3,152.4,304,False,False,타 대학 학점교류 수강 건수,True,UNIVERSITY,False,EXPLICIT,ind_dfd083c0ae,CHILD,ind_889fa0188a,0,,DIRECT
2026,16,O,X,1. 인력양성,1-1. 공유대학,대학 자율,하위지표,02. 실무교과목 이수 학생 수,명,허소영,46,,0,,1,38,43,46,49,49,53,29.5,33,35,37,38,39,33,98,False,False,실무교과목 이수 학생 수,True,UNIVERSITY,False,EXPLICIT,ind_6ced62e054,CHILD,ind_889fa0188a,0,,DIRECT
2026,17,O,X,1. 인력양성,1-1. 공유대학,대학 자율,하위지표,03. 산업체 인력참여자 수,명,허소영,9,,0,,1,5,6,9,10,11,12,5,6.2,8.2,9.9,11.1,12.3,6.2,7,False,False,산업체 인력참여자 수,True,UNIVERSITY,False,EXPLICIT,ind_bcb77dd788,CHILD,ind_889fa0188a,0,,DIRECT
2026,18,O,X,1. 인력양성,1-2. 이차전지 단독형,지역 전체,상위지표,01. 지역 정주 취업률,%,취업성공지원과,0,,,,,,,,,,,,,,,,,,,False,True,지역 정주 취업률,True,PROJECT,False,EXPLICIT,ind_ac9ff6541e,PARENT,,2,AUTO_FROM_CHILDREN,RATIO
2026,19,O,X,1. 인력양성,1-2. 이차전지 단독형,지역 전체,하위지표,02. 지역 내 취업자 수,명,취업성공지원과,11,,0,,,10,10,11,12,13,14,-,10,11,12,13,14,10,34,False,False,지역 내 취업자 수,True,PROJECT,False,EXPLICIT,ind_ecda8a8df5,CHILD,ind_ac9ff6541e,0,,DIRECT
