task_id,project_id,project_name,task_name
tsk_1185105e14,prj_b47f5b5eef,1. 인력양성,1-1. 공유대학
tsk_9c57c1cf30,prj_b47f5b5eef,1. 인력양성,1-2. 이차전지 단독형
tsk_666fd37f7c,prj_b47f5b5eef,1. 인력양성,1-3. 바이오 단독형
tsk_dde283829b,prj_b47f5b5eef,1. 인력양성,1-4. 반도체 단독형
tsk_4d69267fc2,prj_b47f5b5eef,1. 인력양성,2-1. 충주시
tsk_a53baaf018,prj_b47f5b5eef,1. 인력양성,2-2. 증평군
tsk_1a290ef793,prj_b47f5b5eef,1. 인력양성,2-3. 오송철도 클러스터
tsk_92d076b5b7,prj_b47f5b5eef,1. 인력양성,2-4. 순환경제 클러스터
tsk_3fab9deb4a,prj_815347558f,2. 공동연구센터,1-1. AI모빌리티
tsk_7dccad3521,prj_815347558f,2. 공동연구센터,1-2. 이차전지
tsk_55172a5df7,prj_815347558f,2. 공동연구센터,1-3. 반도체
tsk_edbb92499c,prj_815347558f,2. 공동연구센터,1-4. 첨단바이오
tsk_477ecbeb78,prj_815347558f,2. 공동연구센터,1-5. AI첨단제조
tsk_a9c45fbd85,prj_815347558f,2. 공동연구센터,AI첨단제조
tsk_b3bf2c5823,prj_815347558f,2. 공동연구센터,AI모빌리티
tsk_58a58932c7,prj_815347558f,2. 공동연구센터,첨단바이오
tsk_91be238414,prj_815347558f,2. 공동연구센터,이차전지
tsk_f5e56ba209,prj_815347558f,2. 공동연구센터,반도체
tsk_f5e97243ff,prj_208430319d,2.1. 창업지원센터,창업지원센터
tsk_93fb7afe3d,prj_48a7df57d7,2.2. 방사광가속기,4세대 방사광 가속기
tsk_d5d35482da,prj_29d720f2c2,3. 평생교육,평생직업교육체계 활성화
tsk_51b4a09de8,prj_0b2eb44900,4. 지역현안해결,K-유학생
tsk_1536471ff4,prj_0b2eb44900,4. 지역현안해결,생활연구소
tsk_a53da184e1,prj_0b2eb44900,4. 지역현안해결,늘봄
